CCLM variable name;CCLM variable name (in model output file);output variable name;to be derived from;Derotate (CORDEX);Level;Conversion factor 1);Cell Method (additional subdaily,CORDEX);Cell Method (subdaily,CORDEX);Cell Method (daily,CORDEX);Cell Method (monthly,CORDEX);Cell Method (seasonal,CORDEX);Levelvalue (height, plev);units;"Additional subdaily frq
[1/day]";"Subdaily frq
[1/day]";ag;"Daily frq
[1/day]";ag;"Monthly frq
[1/mon]";ag;"Seasonal frq
[1/sem]";ag;fx;long_name;comment;standard_name;direction of positive fluxes;"realm
(not required, however, if included should have the value as in CMIP5)";"cell-method: area
(optional)"
W_SO;W_SO;mrsol;W_SO(1:8);;ModelLevel;1000.0;;point;mean;mean;;8;kg m-2;;4;i;1;;1;;;;;Total Water Content of Soil Layer;;mass_content_of_water_in_soil_layer;;land;mean where land
W_SNOW;W_SNOW;snw;;;ModelLevel;1;;point;mean;mean;;0;kg m-2;;4;i;1;;1;;;;;Surface Snow Amount;;surface_snow_amount;;landIce land;mean where land
FR_SNOW;FR_SNOW;snc;;;ModelLevel;1;;point;mean;mean;;0;%;;4;i;1;;1;;;;;Snow Area Percentage;;surface_snow_area_fraction;;landIce land;
H_SNOW;H_SNOW;snd;;;ModelLevel;1;;point;mean;mean;;0;m;;4;i;1;;1;;;;;Snow Depth;;surface_snow_thickness;;landIce land;mean where land
TQV;TQV;prw;;;ModelLevel;1;;point;mean;mean;;0;kg m-2;;4;i;1;;1;;;;;Water Vapor Path;;atmosphere_mass_content_of_water_vapor;;atmos;
TQW;TQW;clwvi;TQC + TQI;;ModelLevel;1;;point;mean;mean;;0;kg m-2;;4;i;1;;1;;;;;Condensed Water Path;;atmosphere_mass_content_of_cloud_condensed_water;;atmos;
TQI;TQI;clivi;;;ModelLevel;1;;point;mean;mean;;0;kg m-2;;4;i;1;;1;;;;;Ice Water Path;;atmosphere_mass_content_of_cloud_ice;;atmos;
ULON1000p;ULON;ua1000;;;PressureLevel;1;;point;mean;mean;;100000;m s-1;;4;i;1;;1;;;;;Eastward Wind;;eastward_wind;;atmos;
ULON950p;ULON;ua950;;;PressureLevel;1;;point;mean;mean;;95000;m s-1;;24;i;1;;1;;;;;Eastward Wind;;eastward_wind;;atmos;
ULON925p;ULON;ua925;;;PressureLevel;1;;point;mean;mean;;92500;m s-1;;4;i;1;;1;;;;;Eastward Wind;;eastward_wind;;atmos;
ULON850p;ULON;ua850;;;PressureLevel;1;;point;mean;mean;;85000;m s-1;;4;i;1;;1;;;;;Eastward Wind;;eastward_wind;;atmos;
ULON700p;ULON;ua700;;;PressureLevel;1;;point;mean;mean;;70000;m s-1;;24;i;1;;1;;;;;Eastward Wind;;eastward_wind;;atmos;
ULON600p;ULON;ua600;;;PressureLevel;1;;point;mean;mean;;60000;m s-1;;4;i;1;;1;;;;;Eastward Wind;;eastward_wind;;atmos;
ULON500p;ULON;ua500;;;PressureLevel;1;;point;mean;mean;;50000;m s-1;;24;i;1;;1;;;;;Eastward Wind;;eastward_wind;;atmos;
ULON400p;ULON;ua400;;;PressureLevel;1;;point;mean;mean;;40000;m s-1;;4;i;1;;1;;;;;Eastward Wind;;eastward_wind;;atmos;
ULON300p;ULON;ua300;;;PressureLevel;1;;point;mean;mean;;30000;m s-1;;24;i;1;;1;;;;;Eastward Wind;;eastward_wind;;atmos;
ULON250p;ULON;ua250;;;PressureLevel;1;;point;mean;mean;;25000;m s-1;;4;i;1;;1;;;;;Eastward Wind;;eastward_wind;;atmos;
ULON200p;ULON;ua200;;;PressureLevel;1;;point;mean;mean;;20000;m s-1;;4;i;1;;1;;;;;Eastward Wind;;eastward_wind;;atmos;
VLAT1000p;VLAT;va1000;;;PressureLevel;1;;point;mean;mean;;100000;m s-1;;4;i;1;;1;;;;;Northward Wind;;northward_wind;;atmos;
VLAT950p;VLAT;va950;;;PressureLevel;1;;point;mean;mean;;95000;m s-1;;24;i;1;;1;;;;;Northward Wind;;northward_wind;;atmos;
VLAT925p;VLAT;va925;;;PressureLevel;1;;point;mean;mean;;92500;m s-1;;4;i;1;;1;;;;;Northward Wind;;northward_wind;;atmos;
VLAT850p;VLAT;va850;;;PressureLevel;1;;point;mean;mean;;85000;m s-1;;4;i;1;;1;;;;;Northward Wind;;northward_wind;;atmos;
VLAT700p;VLAT;va700;;;PressureLevel;1;;point;mean;mean;;70000;m s-1;;24;i;1;;1;;;;;Northward Wind;;northward_wind;;atmos;
VLAT600p;VLAT;va600;;;PressureLevel;1;;point;mean;mean;;60000;m s-1;;4;i;1;;1;;;;;Northward Wind;;northward_wind;;atmos;
VLAT500p;VLAT;va500;;;PressureLevel;1;;point;mean;mean;;50000;m s-1;;24;i;1;;1;;;;;Northward Wind;;northward_wind;;atmos;
VLAT400p;VLAT;va400;;;PressureLevel;1;;point;mean;mean;;40000;m s-1;;4;i;1;;1;;;;;Northward Wind;;northward_wind;;atmos;
VLAT300p;VLAT;va300;;;PressureLevel;1;;point;mean;mean;;30000;m s-1;;24;i;1;;1;;;;;Northward Wind;;northward_wind;;atmos;
VLAT250p;VLAT;va250;;;PressureLevel;1;;point;mean;mean;;25000;m s-1;;4;i;1;;1;;;;;Northward Wind;;northward_wind;;atmos;
VLAT200p;VLAT;va200;;;PressureLevel;1;;point;mean;mean;;20000;m s-1;;4;i;1;;1;;;;;Northward Wind;;northward_wind;;atmos;
T1000p;T;ta1000;;;PressureLevel;1;;point;mean;mean;;100000;K;;4;i;1;;1;;;;;Air Temperature;;air_temperature;;atmos;
T950p;T;ta950;;;PressureLevel;1;;point;mean;mean;;95000;K;;24;i;1;;1;;;;;Air Temperature;;air_temperature;;atmos;
T925p;T;ta925;;;PressureLevel;1;;point;mean;mean;;92500;K;;4;i;1;;1;;;;;Air Temperature;;air_temperature;;atmos;
T850p;T;ta850;;;PressureLevel;1;;point;mean;mean;;85000;K;;4;i;1;;1;;;;;Air Temperature;;air_temperature;;atmos;
T700p;T;ta700;;;PressureLevel;1;;point;mean;mean;;70000;K;;24;i;1;;1;;;;;Air Temperature;;air_temperature;;atmos;
T600p;T;ta600;;;PressureLevel;1;;point;mean;mean;;60000;K;;4;i;1;;1;;;;;Air Temperature;;air_temperature;;atmos;
T500p;T;ta500;;;PressureLevel;1;;point;mean;mean;;50000;K;;24;i;1;;1;;;;;Air Temperature;;air_temperature;;atmos;
T400p;T;ta400;;;PressureLevel;1;;point;mean;mean;;40000;K;;4;i;1;;1;;;;;Air Temperature;;air_temperature;;atmos;
T300p;T;ta300;;;PressureLevel;1;;point;mean;mean;;30000;K;;24;i;1;;1;;;;;Air Temperature;;air_temperature;;atmos;
T250p;T;ta250;;;PressureLevel;1;;point;mean;mean;;25000;K;;4;i;1;;1;;;;;Air Temperature;;air_temperature;;atmos;
T200p;T;ta200;;;PressureLevel;1;;point;mean;mean;;20000;K;;4;i;1;;1;;;;;Air Temperature;;air_temperature;;atmos;
QV1000p;QV;hus1000;;;PressureLevel;1;;point;mean;mean;;100000;1;;4;i;1;;1;;;;;Specific Humidity;;specific_humidity;;atmos;
QV925p;QV;hus925;;;PressureLevel;1;;point;mean;mean;;92500;1;;4;i;1;;1;;;;;Specific Humidity;;specific_humidity;;atmos;
QV850p;QV;hus850;;;PressureLevel;1;;point;mean;mean;;85000;1;;4;i;1;;1;;;;;Specific Humidity;;specific_humidity;;atmos;
QV700p;QV;hus700;;;PressureLevel;1;;point;mean;mean;;70000;1;;4;i;1;;1;;;;;Specific Humidity;;specific_humidity;;atmos;
QV600p;QV;hus600;;;PressureLevel;1;;point;mean;mean;;60000;1;;4;i;1;;1;;;;;Specific Humidity;;specific_humidity;;atmos;
QV500p;QV;hus500;;;PressureLevel;1;;point;mean;mean;;50000;1;;4;i;1;;1;;;;;Specific Humidity;;specific_humidity;;atmos;
QV400p;QV;hus400;;;PressureLevel;1;;point;mean;mean;;40000;1;;4;i;1;;1;;;;;Specific Humidity;;specific_humidity;;atmos;
QV300p;QV;hus300;;;PressureLevel;1;;point;mean;mean;;30000;1;;4;i;1;;1;;;;;Specific Humidity;;specific_humidity;;atmos;
FI1000p;FI;zg1000;;;PressureLevel;0.101971621;;point;mean;mean;;100000;m;;4;i;1;;1;;;;;Geopotential Height;geopotential_height_at_1000hPa;geopotential_height;;atmos;
FI950p;FI;zg950;;;PressureLevel;0.101971621;;point;mean;mean;;95000;m;;24;i;1;;1;;;;;Geopotential Height;geopotential_height_at_950hPa;geopotential_height;;atmos;
FI925p;FI;zg925;;;PressureLevel;0.101971621;;point;mean;mean;;92500;m;;4;i;1;;1;;;;;Geopotential Height;geopotential_height_at_925hPa;geopotential_height;;atmos;
FI850p;FI;zg850;;;PressureLevel;0.101971621;;point;mean;mean;;85000;m;;4;i;1;;1;;;;;Geopotential Height;geopotential_height_at_850hPa;geopotential_height;;atmos;
FI700p;FI;zg700;;;PressureLevel;0.101971621;;point;mean;mean;;70000;m;;24;i;1;;1;;;;;Geopotential Height;geopotential_height_at_700hPa;geopotential_height;;atmos;
FI600p;FI;zg600;;;PressureLevel;0.101971621;;point;mean;mean;;60000;m;;4;i;1;;1;;;;;Geopotential Height;geopotential_height_at_600hPa;geopotential_height;;atmos;
FI500p;FI;zg500;;;PressureLevel;0.101971621;;point;mean;mean;;50000;m;;24;i;1;;1;;;;;Geopotential Height;geopotential_height_at_500hPa;geopotential_height;;atmos;
FI400p;FI;zg400;;;PressureLevel;0.101971621;;point;mean;mean;;40000;m;;4;i;1;;1;;;;;Geopotential Height;geopotential_height_at_400hPa;geopotential_height;;atmos;
FI300p;FI;zg300;;;PressureLevel;0.101971621;;point;mean;mean;;30000;m;;24;i;1;;1;;;;;Geopotential Height;geopotential_height_at_300hPa;geopotential_height;;atmos;
FI250p;FI;zg250;;;PressureLevel;0.101971621;;point;mean;mean;;25000;m;;4;i;1;;1;;;;;Geopotential Height;geopotential_height_at_250hPa;geopotential_height;;atmos;
FI200p;FI;zg200;;;PressureLevel;0.101971621;;point;mean;mean;;20000;m;;4;i;1;;1;;;;;Geopotential Height;geopotential_height_at_200hPa;geopotential_height;;atmos;
W1000p;W;wa1000;;;PressureLevel;1;;point;mean;mean;;100000;m s-1;;4;i;1;;1;;;;;Upward Air Velocity;;upward_air_velocity;;atmos;
W950p;W;wa950;;;PressureLevel;1;;point;mean;mean;;95000;m s-1;;24;i;1;;1;;;;;Upward Air Velocity;;upward_air_velocity;;atmos;
W925p;W;wa925;;;PressureLevel;1;;point;mean;mean;;92500;m s-1;;4;i;1;;1;;;;;Upward Air Velocity;;upward_air_velocity;;atmos;
W850p;W;wa850;;;PressureLevel;1;;point;mean;mean;;85000;m s-1;;4;i;1;;1;;;;;Upward Air Velocity;;upward_air_velocity;;atmos;
W700p;W;wa700;;;PressureLevel;1;;point;mean;mean;;70000;m s-1;;24;i;1;;1;;;;;Upward Air Velocity;;upward_air_velocity;;atmos;
W600p;W;wa600;;;PressureLevel;1;;point;mean;mean;;60000;m s-1;;4;i;1;;1;;;;;Upward Air Velocity;;upward_air_velocity;;atmos;
W500p;W;wa500;;;PressureLevel;1;;point;mean;mean;;50000;m s-1;;24;i;1;;1;;;;;Upward Air Velocity;;upward_air_velocity;;atmos;
W400p;W;wa400;;;PressureLevel;1;;point;mean;mean;;40000;m s-1;;4;i;1;;1;;;;;Upward Air Velocity;;upward_air_velocity;;atmos;
W300p;W;wa300;;;PressureLevel;1;;point;mean;mean;;30000;m s-1;;24;i;1;;1;;;;;Upward Air Velocity;;upward_air_velocity;;atmos;
W250p;W;wa250;;;PressureLevel;1;;point;mean;mean;;25000;m s-1;;4;i;1;;1;;;;;Upward Air Velocity;;upward_air_velocity;;atmos;
W200p;W;wa200;;;PressureLevel;1;;point;mean;mean;;20000;m s-1;;4;i;1;;1;;;;;Upward Air Velocity;;upward_air_velocity;;atmos;
RELHUM300p;RELHUM;hur300;;;PressureLevel;1;;point;mean;mean;;30000;%;;24;i;1;;1;;;;;Relative Humidity;;relative_humidity;;;
RELHUM500p;RELHUM;hur500;;;PressureLevel;1;;point;mean;mean;;50000;%;;24;i;1;;1;;;;;Relative Humidity;;relative_humidity;;;
RELHUM700p;RELHUM;hur700;;;PressureLevel;1;;point;mean;mean;;70000;%;;24;i;1;;1;;;;;Relative Humidity;;realtive_humidity;;;
RELHUM950p;RELHUM;hur950;;;PressureLevel;1;;point;mean;mean;;95000;%;;24;i;1;;1;;;;;Relative Humidity;;realtive_humidity;;;
ULON100z;ULON;ua100m;vert. interpolation of model-level output;;ModelLevel;1;;point;mean;mean;;100;m s-1;;24;i;1;;1;;;;;Eastward wind at 100 m;;eastward_wind;;atmos;
VLAT100z;VLAT;va100m;vert. interpolation of model-level output;;ModelLevel;1;;point;mean;mean;;100;m s-1;;24;i;1;;1;;;;;Northward wind at 100 m;;northward_wind;;atmos;
APOTEVAP_S;APOTEVAP_S;evspsblpot;by separate R-script;;ModelLevel;1/86400 (?);;;mean;mean;;0;kg m-2 s-1;;;a;1;;1;;;;;Potential Evapotranspiration;;water_potential_evaporation_flux;;atmos;
CLCH;CLCH;clh;;;ModelLevel;100;;mean;mean;mean;;0;%;;4;i;1;;1;;;;;High Level Cloud Fraction;;cloud_area_fraction_in_atmosphere_layer;;atmos;
