CCLM variable name;CCLM variable name (in model output file);output variable name;to be derived from;Derotate (CORDEX);Level;Conversion factor;Cell Method (additional subdaily,CORDEX);Cell Method (subdaily,CORDEX);Cell Method (daily,CORDEX);Cell Method (monthly,CORDEX);Cell Method (seasonal,CORDEX);Levelvalue (height, plev);units;Additional subdaily frq[1/day];"Subdaily frq
[1/day]";ag;"Daily frq
[1/day]";ag;"Monthly frq
[1/mon]";ag;"Seasonal frq
[1/sem]";ag;fx;long_name;comment;standard_name;direction of positive fluxes;"realm
(not required, however, if included should have the value as in CMIP5)";"cell-method: area
(optional)"
W200p;W;wa200;;;PressureLevel;1;;point;mean;mean;mean;20000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Upward air velocity;;upward_air_velocity;up;atmos;
QV_2M;QV_2M;huss;;;ModelLevel;1;;point;mean;mean;mean;2;1;;24;i;1;24;1;m*24;1;s*24;;Near-Surface Specific Humidity;;specific_humidity;;atmos;
QV1000p;QV;hus1000;;;PressureLevel;1;;point;mean;mean;mean;1000000;1;;8;i;1;8;1;m*8;1;s*8;;Specific Humidity;;specific_humidity;;atmos;
QV950p;QV;hus950;;;PressureLevel;1;;point;mean;mean;mean;95000;1;;8;i;1;8;1;m*8;1;s*8;;Specific Humidity;;specific_humidity;;atmos;
QV925p;QV;hus925;;;PressureLevel;1;;point;mean;mean;mean;92500;1;;8;i;1;8;1;m*8;1;s*8;;Specific Humidity;;specific_humidity;;atmos;
QV900p;QV;hus900;;;PressureLevel;1;;point;mean;mean;mean;90000;1;;8;i;1;8;1;m*8;1;s*8;;Specific Humidity;;specific_humidity;;atmos;
QV850p;QV;hus850;;;PressureLevel;1;;point;mean;mean;mean;85000;1;;8;i;1;8;1;m*8;1;s*8;;Specific Humidity;;specific_humidity;;atmos;
QV800p;QV;hus800;;;PressureLevel;1;;point;mean;mean;mean;80000;1;;8;i;1;8;1;m*8;1;s*8;;Specific Humidity;;specific_humidity;;atmos;
QV700p;QV;hus700;;;PressureLevel;1;;point;mean;mean;mean;70000;1;;8;i;1;8;1;m*8;1;s*8;;Specific Humidity;;specific_humidity;;atmos;
QV600p;QV;hus600;;;PressureLevel;1;;point;mean;mean;mean;60000;1;;8;i;1;8;1;m*8;1;s*8;;Specific Humidity;;specific_humidity;;atmos;
QV500p;QV;hus500;;;PressureLevel;1;;point;mean;mean;mean;50000;1;;8;i;1;8;1;m*8;1;s*8;;Specific Humidity;;specific_humidity;;atmos;
QV400p;QV;hus400;;;PressureLevel;1;;point;mean;mean;mean;40000;1;;8;i;1;8;1;m*8;1;s*8;;Specific Humidity;;specific_humidity;;atmos;
QV200p;QV;hus200;;;PressureLevel;1;;point;mean;mean;mean;20000;1;;8;i;1;8;1;m*8;1;s*8;;Specific Humidity;;specific_humidity;;atmos;
T1000p;T;ta1000;;;PressureLevel;1;;point;mean;mean;mean;100000;K;;8;i;1;8;1;m*8;1;s*8;;Air Temperature;;air_temperature;;atmos;
T950p;T;ta950;;;PressureLevel;1;;point;mean;mean;mean;95000;K;;8;i;1;8;1;m*8;1;s*8;;Air Temperature;;air_temperature;;atmos;
T925p;T;ta925;;;PressureLevel;1;;point;mean;mean;mean;92500;K;;8;i;1;8;1;m*8;1;s*8;;Air Temperature;;air_temperature;;atmos;
T900p;T;ta900;;;PressureLevel;1;;point;mean;mean;mean;90000;K;;8;i;1;8;1;m*8;1;s*8;;Air Temperature;;air_temperature;;atmos;
T850p;T;ta850;;;PressureLevel;1;;point;mean;mean;mean;85000;K;;8;i;1;8;1;m*8;1;s*8;;Air Temperature;;air_temperature;;atmos;
T800p;T;ta800;;;PressureLevel;1;;point;mean;mean;mean;80000;K;;8;i;1;8;1;m*8;1;s*8;;Air Temperature;;air_temperature;;atmos;
T700p;T;ta700;;;PressureLevel;1;;point;mean;mean;mean;70000;K;;8;i;1;8;1;m*8;1;s*8;;Air Temperature;;air_temperature;;atmos;
T600p;T;ta600;;;PressureLevel;1;;point;mean;mean;mean;60000;K;;8;i;1;8;1;m*8;1;s*8;;Air Temperature;;air_temperature;;atmos;
T500p;T;ta500;;;PressureLevel;1;;point;mean;mean;mean;50000;K;;8;i;1;8;1;m*8;1;s*8;;Air Temperature;;air_temperature;;atmos;
T400p;T;ta400;;;PressureLevel;1;;point;mean;mean;mean;40000;K;;8;i;1;8;1;m*8;1;s*8;;Air Temperature;;air_temperature;;atmos;
T200p;T;ta200;;;PressureLevel;1;;point;mean;mean;mean;20000;K;;8;i;1;8;1;m*8;1;s*8;;Air Temperature;;air_temperature;;atmos;
QC1000p;QC;clw1000;;;PressureLevel;1;;point;mean;mean;mean;1000000;1;;8;i;1;8;1;m*8;1;s*8;;Mass Fraction of Cloud Liquid Water in Air;;mass_fraction_of_cloud_liquid_water_in_air;;atmos;
QC950p;QC;clw950;;;PressureLevel;1;;point;mean;mean;mean;95000;1;;8;i;1;8;1;m*8;1;s*8;;Mass Fraction of Cloud Liquid Water in Air;;mass_fraction_of_cloud_liquid_water_in_air;;atmos;
QC925p;QC;clw925;;;PressureLevel;1;;point;mean;mean;mean;92500;1;;8;i;1;8;1;m*8;1;s*8;;Mass Fraction of Cloud Liquid Water in Air;;mass_fraction_of_cloud_liquid_water_in_air;;atmos;
QC900p;QC;clw900;;;PressureLevel;1;;point;mean;mean;mean;90000;1;;8;i;1;8;1;m*8;1;s*8;;Mass Fraction of Cloud Liquid Water in Air;;mass_fraction_of_cloud_liquid_water_in_air;;atmos;
QC850p;QC;clw850;;;PressureLevel;1;;point;mean;mean;mean;85000;1;;8;i;1;8;1;m*8;1;s*8;;Mass Fraction of Cloud Liquid Water in Air;;mass_fraction_of_cloud_liquid_water_in_air;;atmos;
QC800p;QC;clw800;;;PressureLevel;1;;point;mean;mean;mean;80000;1;;8;i;1;8;1;m*8;1;s*8;;Mass Fraction of Cloud Liquid Water in Air;;mass_fraction_of_cloud_liquid_water_in_air;;atmos;
QC700p;QC;clw700;;;PressureLevel;1;;point;mean;mean;mean;70000;1;;8;i;1;8;1;m*8;1;s*8;;Mass Fraction of Cloud Liquid Water in Air;;mass_fraction_of_cloud_liquid_water_in_air;;atmos;
QC600p;QC;clw600;;;PressureLevel;1;;point;mean;mean;mean;60000;1;;8;i;1;8;1;m*8;1;s*8;;Mass Fraction of Cloud Liquid Water in Air;;mass_fraction_of_cloud_liquid_water_in_air;;atmos;
QC500p;QC;clw500;;;PressureLevel;1;;point;mean;mean;mean;50000;1;;8;i;1;8;1;m*8;1;s*8;;Mass Fraction of Cloud Liquid Water in Air;;mass_fraction_of_cloud_liquid_water_in_air;;atmos;
QC400p;QC;clw400;;;PressureLevel;1;;point;mean;mean;mean;40000;1;;8;i;1;8;1;m*8;1;s*8;;Mass Fraction of Cloud Liquid Water in Air;;mass_fraction_of_cloud_liquid_water_in_air;;atmos;
QC200p;QC;clw200;;;PressureLevel;1;;point;mean;mean;mean;20000;1;;8;i;1;8;1;m*8;1;s*8;;Mass Fraction of Cloud Liquid Water in Air;;mass_fraction_of_cloud_liquid_water_in_air;;atmos;
QI1000p;QI;cli1000;;;PressureLevel;1;;point;mean;mean;mean;1000000;1;;8;i;1;8;1;m*8;1;s*8;;Mass Fraction of Cloud Ice in Air;;mass_fraction_of_cloud_ice_in_air;;atmos;
QI950p;QI;cli950;;;PressureLevel;1;;point;mean;mean;mean;95000;1;;8;i;1;8;1;m*8;1;s*8;;Mass Fraction of Cloud Ice in Air;;mass_fraction_of_cloud_ice_in_air;;atmos;
