WRF variable name;WRF variable name (in model output file);output variable name;to be derived from;Derotate (CORDEX);Level;Conversion factor 1);Cell Method (additional subdaily,CORDEX);Cell Method (subdaily,CORDEX);Cell Method (daily,CORDEX);Cell Method (monthly,CORDEX);Cell Method (seasonal,CORDEX);Levelvalue (height, plev);units;"Additional subdaily frq
[1/day]";"Subdaily frq
[1/day]";ag;"Daily frq
[1/day]";ag;"Monthly frq
[1/mon]";ag;"Seasonal frq
[1/sem]";ag;fx;long_name;comment;standard_name;direction of positive fluxes;"realm
(not required, however, if included should have the value as in CMIP5)";"cell-method: area
(optional)"
;;ua925;;derotate;PressureLevel;;;point;mean;mean;mean;92500;m s-1;;4;i;1;4;1;m*4;1;s*4;;Eastward Wind;;eastward_wind;;atmos;
;;va925;;derotate;PressureLevel;;;point;mean;mean;mean;92500;m s-1;;4;i;1;4;1;m*4;1;s*4;;Northward Wind;;northward_wind;;atmos;
;;zg500;;;PressureLevel;;;point;mean;mean;mean;50000;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;;geopotential_height;;atmos;
;;ta500;;;PressureLevel;;;point;mean;mean;mean;50000;K;;4;i;1;4;1;m*4;1;s*4;;Air Temperature;;air_temperature;;atmos;
;;ua200;;derotate;PressureLevel;;;point;mean;mean;mean;20000;m s-1;;4;i;1;4;1;m*4;1;s*4;;Eastward Wind;;eastward_wind;;atmos;
;;va200;;derotate;PressureLevel;;;point;mean;mean;mean;20000;m s-1;;4;i;1;4;1;m*4;1;s*4;;Northward Wind;;northward_wind;;atmos;
;;ta200;;;PressureLevel;;;point;mean;mean;mean;20000;K;;4;i;1;4;1;m*4;1;s*4;;Air Temperature;;air_temperature;;atmos;
;;zg200;;;PressureLevel;;;point;mean;mean;mean;20000;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;geopotential_height_at_200hPa;geopotential_height;;atmos;
;;clh;;;ModelLevel;;;point;mean;mean;mean;0;%;;4;a;1;;;;;;;High Level Cloud Fraction;;cloud_area_fraction_in_atmosphere_layer;;atmos;
;;clm;;;ModelLevel;;;mean;mean;;;0;%;;4;a;1;;;;;;;Mid Level Cloud Fraction;;cloud_area_fraction_in_atmosphere_layer;;atmos;
